,Ticker,Name,2019,2020,2021,2022,2023,2024,2025,EPS,Debt,Equity,FCF,Dividends,Issue,Sector,Industry,SectorRu,IndustryRu,InterestRateOnDebt,NetDebt,InterestExpense
0,VTBR,ВТБ ао,,80600000000,325300000000,-668000000000,432200000000,535300000000,,99.7,-2018000000000,36070000000000,0,32.1,6620418282,Financial Services,Banks - Regional,Финансы,Региональные банки,0.16,-2018000000000,3555000000000
1,GAZP,ГАЗПРОМ ао,,135000000000,2093000000000,1226000000000,-629000000000,1219000000000,,51.5,5723000000000,30698000000000,-701000000000,0,23673512900,Energy,Oil & Gas Integrated,Энергетика,Интегрированные нефтяные и газовые компании,0.16,5723000000000,715400000000
2,SBER,Сбербанк,,761100000000,1251000000000,270500000000,1509000000000,1580000000000,,73.2,-2252000000000,60855000000000,0,12.5,21586948000,Financial Services,Banks - Regional,Финансы,Региональные банки,0.16,-2252000000000,4368000000000
3,LKOH,ЛУКОЙЛ,,15200000000,773400000000,790000000000,1155000000000,848500000000,,1225,-1146000000000,9283000000000,979000000000,14.6,692865762,Energy,Oil & Gas Integrated,Энергетика,Интегрированные нефтяные и газовые компании,0.16,-1146000000000,26700000000
4,SPBE,СПБ Биржа,,1270000000,2580000000,1500000000,583000000,1010000000,,7.59,-14600000000,90200000000,-15700000000,0,132843907,Financial Services,Financial Data & Stock Exchanges,Финансы,Финансовые биржи и финансовые данные,0.2,-14600000000,465000000
5,NVTK,Новатэк ао,,169000000000,421300000000,,463000000000,493500000000,,162.5,141600000000,3740000000000,164100000000,3.6,3036306000,Energy,Oil & Gas E&P,Энергетика,Интегрированные нефтяные и газовые компании,0.16,141600000000,2430000000
6,T,Т-Техно ао,,44200000000,63400000000,20800000000,80900000000,122200000000,,455.5,-1427000000000,5119000000000,0,4.6,268274786,Financial Services,Banks - Regional,Финансы,Региональные банки,0.17,-1427000000000,0
7,X5,КЦ ИКС 5,,35800000000,44600000000,52200000000,90300000000,110100000000,,405.4,28100000000,1843000000000,47500000000,23.1,271572872,Retail,Consumer Retail,Потребительские товары массового спроса,Розничная торговля потребительскими товарами массового спроса,0.16,28100000000,34100000000
8,YDEX,ЯНДЕКС,,20400000000,8010000000,10800000000,52100000000,100900000000,,258.4,83600000000,1098000000000,41400000000,4,393280881,IT,IT Services & Infrastructure,Информационные технологии,Предоставление Интернет-услуг и инфраструктуры,0.16,83600000000,35300000000
9,OZON,Озон,,-22300000000,-56800000000,-58200000000,-42700000000,-59400000000,,-274.7,184000000000,890000000000,-84300000000,0,216413733,Retail Trade,Internet Retail,Розничная торговля,Интернет-розничная торговля,0.19,184000000000,56100000000
