,tickers,exchange,2019,2020,2021,2022,2023,2024,2025,interest_expense,net_income
0,A,NYSE,,719000000.0,1210000000.0,1250000000.0,1240000000.0,1290000000.0,,-111000000.0,
1,AA,NYSE,,-170000000.0,429000000.0,-123000000.0,-651000000.0,60000000.0,,-164000000.0,
2,AACT,NYSE,,,,,,,,,
3,AAM,NYSE,,,,,,,,0.0,
4,AAMI,NYSE,,286600000.0,137300000.0,100600000.0,65800000.0,85000000.0,,,80000000.0
5,AAP,NYSE,,493020000.0,616110000.0,464400000.0,29730000.0,-335790000.0,,65408000.0,44000000.0
6,AAT,NYSE,,-51140000.0,28940000.0,44150000.0,51140000.0,57590000.0,,,
7,AAUC,NYSE,,,,,-212310000.0,-110080000.0,,-25740000.0,
8,AB,NYSE,,279380000.0,385840000.0,274170000.0,264180000.0,423370000.0,,,
9,ABBV,NYSE,,4560000000.0,11470000000.0,11780000000.0,4820000000.0,4240000000.0,,2893000000.0,1816000000.0
10,ABCB,NYSE,,261990000.0,376910000.0,346540000.0,269110000.0,358690000.0,,-44420000.0,
11,ABEV,NYSE,,2210000000.0,2350000000.0,2800000000.0,2900000000.0,2680000000.0,,-472680000.0,
12,ABG,NYSE,,254400000.0,532400000.0,997300000.0,602500000.0,430300000.0,,165700000.0,492000000.0
13,ABM,NYSE,,300000.0,126300000.0,230400000.0,251300000.0,81400000.0,,-96400000.0,
14,ABR,NYSE,,170950000.0,339300000.0,325780000.0,371430000.0,264640000.0,,,
15,ABR^D,NYSE,,170950000.0,339300000.0,325780000.0,371430000.0,264640000.0,,,
16,ABR^E,NYSE,,170950000.0,339300000.0,325780000.0,371430000.0,264640000.0,,,
17,ABR^F,NYSE,,170950000.0,339300000.0,325780000.0,371430000.0,264640000.0,,,
18,ABT,NYSE,,4470000000.0,7040000000.0,6910000000.0,5700000000.0,13350000000.0,,637000000.0,6524000000.0
19,AC,NYSE,,,,,,,,,
20,ACA,NYSE,,105800000.0,69200000.0,244800000.0,158600000.0,93400000.0,,28100000.0,208400000.0
21,ACCO,NYSE,,62000000.0,101900000.0,-13200000.0,-21800000.0,-101600000.0,,-52600000.0,
22,ACEL,NYSE,,-410000.0,31560000.0,74100000.0,45600000.0,35250000.0,,-41900000.0,
23,ACHR,NYSE,,,-347800000.0,-317300000.0,-457900000.0,-536799999.0,,,
24,ACI,NYSE,,850200000.0,1620000000.0,1510000000.0,1300000000.0,958600000.0,,-469900000.0,
25,ACM,NYSE,,-186370000.0,173190000.0,310610000.0,55330000.0,402270000.0,,-184300000.0,
26,ACN,NYSE,,,5910000000.0,6880000000.0,6870000000.0,7260000000.0,,-228560000.0,
27,ACP,NYSE,,-4099999.0,34990000.0,-59720000.0,30270000.0,77910000.0,,,
28,ACP^A,NYSE,,-4099999.0,34990000.0,-59720000.0,30270000.0,77910000.0,,,
29,ACR,NYSE,,-197710000.0,33920000.0,10620000.0,22390000.0,29510000.0,,,
30,ACR^C,NYSE,,-197710000.0,33920000.0,10620000.0,22390000.0,29510000.0,,,
31,ACR^D,NYSE,,-197710000.0,33920000.0,10620000.0,22390000.0,29510000.0,,,
32,ACRE,NYSE,,21840000.0,60460000.0,29790000.0,-38870000.0,-34990000.0,,,
33,ACV,NYSE,49240000.0,131680000.0,,,18600000.0,47890000.0,,,
34,ACVA,NYSE,,-41020000.0,-78180000.0,-102190000.0,-75260000.0,-79700000.0,,-4240000.0,
35,ADC,NYSE,,91080000.0,121900000.0,152060000.0,169550000.0,189200000.0,,,
36,ADC^A,NYSE,,91080000.0,121900000.0,152060000.0,169550000.0,189200000.0,,,
37,ADCT,NYSE,,-246290000.0,-230030000.0,-157130000.0,-240050000.0,-157850000.0,,-50210000.0,
38,ADM,NYSE,,1770000000.0,2710000000.0,4340000000.0,3480000000.0,1800000000.0,,-738000000.0,
39,ADNT,NYSE,,-547000000.0,1110000000.0,-120000000.0,205000000.0,18000000.0,,-205000000.0,
40,ADT,NYSE,,-632190000.0,-340820000.0,132660000.0,-166970000.0,501050000.0,,-421790000.0,
41,ADX,NYSE,,349950000.0,625090000.0,-471120000.0,552920000.0,549570000.0,,,
42,AEE,NYSE,,871000000.0,990000000.0,1070000000.0,1150000000.0,1180000000.0,,-663000000.0,
43,AEFC,NYSE,,,,,,,,,
